symbol,bias,bias_emoji,category,score,confidence,pcr,prev_pcr,support,resistance,ce_net_contracts,pe_net_contracts,ce_net_lakhs,pe_net_lakhs,atm_ce_delta_contracts,atm_pe_delta_contracts,score_breakdown
AMBUJACEM,Bearish,🔴,Short Build-Up,-31.9,88,0.68,0.74,410.0,410.0,1065600,138000,10.66,1.38,559200,140400,"-7.5 Moderate Call Writing (ATM zone) | -2.8 Full-chain confirmation (Call-heavy) | -2.4 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -18.0 Full-chain Dual Build-Up is Call-heavy (+10.66L CE vs +1.38L PE, 7.7x) | -4.2 ATM±5 zone raw flow: CE +5.59L vs PE +1.40L (institutional tilt Call-heavy)"
BPCL,Bearish,🔴,Bearish OI Bias (Dual Build-Up),-26.0,86,0.71,0.75,320.0,320.0,570775,156025,5.71,1.56,576700,159975,"-7.5 Moderate Call Writing (ATM zone) | -1.4 Full-chain confirmation (Call-heavy) | -1.6 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -14.3 Full-chain Dual Build-Up is Call-heavy (+5.71L CE vs +1.56L PE, 3.7x) | -4.2 ATM±5 zone raw flow: CE +5.77L vs PE +1.60L (institutional tilt Call-heavy)"
M&M,Bearish,🔴,Bearish OI Bias (Dual Build-Up),-46.9,91,0.63,0.7,3200.0,3400.0,629800,171200,6.3,1.71,610000,160000,"-24.9 Strong Call Writing (ATM zone) | -3.4 Full-chain confirmation (Call-heavy) | -2.8 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -14.3 Full-chain Dual Build-Up is Call-heavy (+6.30L CE vs +1.71L PE, 3.7x) | -4.5 ATM±5 zone raw flow: CE +6.10L vs PE +1.60L (institutional tilt Call-heavy)"
GAIL,Bullish,🟢,Bullish OI Bias (Dual Build-Up),15.6,77,0.69,0.66,190.0,175.0,351450,706450,3.51,7.06,624800,621250,"+2.7 Call/Put roughly balanced (ATM zone) | +1.0 Full-chain confirmation (Put-heavy) | +1.2 PCR improving | +8.0 Max Pain above spot | -5.0 Volume favors Calls | +7.7 Full-chain Dual Build-Up is Put-heavy (+7.06L PE vs +3.51L CE, 2.0x)"
MOTHERSON,Bearish,🔴,Short Build-Up,-43.3,95,1.06,1.08,162.5,170.0,578100,116850,5.78,1.17,676500,110700,"-5.7 Moderate Call Writing (ATM zone) | -0.5 Full-chain confirmation (Call-heavy) | -0.8 PCR weakening | -8.0 Max Pain below spot | -5.0 Volume favors Calls | -17.6 Full-chain Dual Build-Up is Call-heavy (+5.78L CE vs +1.17L PE, 4.9x) | -5.7 ATM±5 zone raw flow: CE +6.76L vs PE +1.11L (institutional tilt Call-heavy)"
DABUR,Bearish Lean,🟧,Bearish Lean (Dual Build-Up),-5.9,64,0.75,0.73,400.0,400.0,670000,641250,6.7,6.41,710000,608750,-9.3 Moderate Call Writing (ATM zone) | +0.6 Full-chain confirmation (Put-heavy) | +0.8 PCR improving | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -1.0 ATM±5 zone raw flow: CE +7.10L vs PE +6.09L (institutional tilt Call-heavy)
BIOCON,Bearish,🔴,Short Build-Up,-37.2,90,0.83,0.91,420.0,420.0,1365000,70000,13.65,0.7,717500,15000,"-10.1 Moderate Call Writing (ATM zone) | -2.9 Full-chain confirmation (Call-heavy) | -3.2 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -18.0 Full-chain Dual Build-Up is Call-heavy (+13.65L CE vs +0.70L PE, 19.5x) | -6.0 ATM±5 zone raw flow: CE +7.17L vs PE +0.15L (institutional tilt Call-heavy)"
PATANJALI,Bearish,🔴,Short Build-Up,-58.2,91,0.7,0.83,350.0,350.0,923420,75250,9.23,0.75,744970,60200,"-26.6 Strong Call Writing (ATM zone) | -5.4 Full-chain confirmation (Call-heavy) | -5.2 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -18.0 Full-chain Dual Build-Up is Call-heavy (+9.23L CE vs +0.75L PE, 12.3x) | -6.0 ATM±5 zone raw flow: CE +7.45L vs PE +0.60L (institutional tilt Call-heavy)"
TVSMOTOR,Bearish,🔴,Bearish OI Bias (Dual Build-Up),-82.0,91,0.62,0.71,4200.0,4500.0,1015175,515025,10.15,5.15,787850,350000,"-62.5 Strong Call Writing (ATM zone) | -7.0 Full-chain confirmation (Call-heavy) | -3.6 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -7.5 Full-chain Dual Build-Up is Call-heavy (+10.15L CE vs +5.15L PE, 2.0x) | -4.4 ATM±5 zone raw flow: CE +7.88L vs PE +3.50L (institutional tilt Call-heavy)"
ICICIBANK,Bearish,🟠,Long Unwinding,-34.9,88,0.8,0.9,1400.0,1470.0,1099700,-767900,11.0,-7.68,804300,-848400,-24.1 Strong Call Writing (ATM zone) | -3.8 Full-chain confirmation (Call-heavy) | -4.0 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -6.0 ATM±5 zone raw flow: CE +8.04L vs PE -8.48L (institutional tilt Call-heavy)
KALYANKJIL,Bearish,🔴,Short Build-Up,-37.0,90,0.57,0.61,600.0,600.0,1780650,324000,17.81,3.24,972000,27000,"-12.1 Moderate Call Writing (ATM zone) | -2.3 Full-chain confirmation (Call-heavy) | -1.6 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -18.0 Full-chain Dual Build-Up is Call-heavy (+17.81L CE vs +3.24L PE, 5.5x) | -6.0 ATM±5 zone raw flow: CE +9.72L vs PE +0.27L (institutional tilt Call-heavy)"
CANBK,Neutral,⚪,Neutral / Mixed Positioning,0.0,65,0.89,0.9,130.0,130.0,1606450,1086750,16.06,10.87,1019200,1174500,"+0.3 Call/Put roughly balanced (ATM zone) | -0.2 Full-chain confirmation (Call-heavy) | -0.4 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -4.3 Full-chain Dual Build-Up is Call-heavy (+16.06L CE vs +10.87L PE, 1.5x) | +1.6 ATM±5 zone raw flow: CE +10.19L vs PE +11.74L (institutional tilt Put-heavy)"
MANAPPURAM,Bearish,🔴,Short Build-Up,-47.2,91,0.79,0.88,340.0,370.0,1437000,42000,14.37,0.42,1122000,24000,"-19.0 Moderate Call Writing (ATM zone) | -3.6 Full-chain confirmation (Call-heavy) | -3.6 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -18.0 Full-chain Dual Build-Up is Call-heavy (+14.37L CE vs +0.42L PE, 34.2x) | -6.0 ATM±5 zone raw flow: CE +11.22L vs PE +0.24L (institutional tilt Call-heavy)"
BANKBARODA,Bearish,🔴,Bearish OI Bias (Fresh Call Writing),-14.9,83,0.92,0.94,235.0,250.0,1091030,526505,10.91,5.27,1123205,473855,"-2.7 Call/Put roughly balanced (ATM zone) | -0.4 Full-chain confirmation (Call-heavy) | -0.8 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -8.0 Full-chain Dual Build-Up is Call-heavy (+10.91L CE vs +5.27L PE, 2.1x) | -6.0 ATM±5 zone raw flow: CE +11.23L vs PE +4.74L (institutional tilt Call-heavy)"
FEDERALBNK,Bearish,🔴,Bearish OI Bias (Dual Build-Up),-25.9,86,0.7,0.73,350.0,360.0,1475000,502500,14.75,5.03,1227500,440000,"-8.4 Moderate Call Writing (ATM zone) | -1.5 Full-chain confirmation (Call-heavy) | -1.2 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -11.8 Full-chain Dual Build-Up is Call-heavy (+14.75L CE vs +5.03L PE, 2.9x) | -6.0 ATM±5 zone raw flow: CE +12.28L vs PE +4.40L (institutional tilt Call-heavy)"
HINDALCO,Bearish,🔴,Bearish OI Bias (Dual Build-Up),-25.3,86,0.78,0.82,1000.0,1100.0,1296400,655200,12.96,6.55,1233400,650300,"-11.7 Moderate Call Writing (ATM zone) | -1.7 Full-chain confirmation (Call-heavy) | -1.6 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -7.5 Full-chain Dual Build-Up is Call-heavy (+12.96L CE vs +6.55L PE, 2.0x) | -5.8 ATM±5 zone raw flow: CE +12.33L vs PE +6.50L (institutional tilt Call-heavy)"
NTPC,Bearish,🔴,Bearish OI Bias (Dual Build-Up),-18.2,78,0.51,0.51,340.0,340.0,1549500,586500,15.49,5.87,1707000,594000,"-4.1 Moderate Call Writing (ATM zone) | -0.4 Full-chain confirmation (Call-heavy) | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -10.7 Full-chain Dual Build-Up is Call-heavy (+15.49L CE vs +5.87L PE, 2.6x) | -6.0 ATM±5 zone raw flow: CE +17.07L vs PE +5.94L (institutional tilt Call-heavy)"
PNB,Bearish,🔴,Short Build-Up,-41.2,91,0.71,0.8,115.0,120.0,5720000,152000,57.2,1.52,1712000,32000,"-13.1 Moderate Call Writing (ATM zone) | -3.5 Full-chain confirmation (Call-heavy) | -3.6 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -18.0 Full-chain Dual Build-Up is Call-heavy (+57.20L CE vs +1.52L PE, 37.6x) | -6.0 ATM±5 zone raw flow: CE +17.12L vs PE +0.32L (institutional tilt Call-heavy)"
IRFC,Bearish,🔴,Bearish OI Bias (Dual Build-Up),-25.7,86,0.84,0.88,80.0,90.0,3466575,1643780,34.67,16.44,1757700,1095845,"-11.4 Moderate Call Writing (ATM zone) | -1.5 Full-chain confirmation (Call-heavy) | -1.6 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -8.2 Full-chain Dual Build-Up is Call-heavy (+34.67L CE vs +16.44L PE, 2.1x) | -6.0 ATM±5 zone raw flow: CE +17.58L vs PE +10.96L (institutional tilt Call-heavy)"
JIOFIN,Bearish,🔴,Bearish OI Bias (Dual Build-Up),-24.8,86,0.77,0.83,230.0,250.0,7548150,2535650,75.48,25.36,2227800,1795400,"-6.7 Moderate Call Writing (ATM zone) | -2.4 Full-chain confirmation (Call-heavy) | -2.4 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -12.0 Full-chain Dual Build-Up is Call-heavy (+75.48L CE vs +25.36L PE, 3.0x) | -4.3 ATM±5 zone raw flow: CE +22.28L vs PE +17.95L (institutional tilt Call-heavy)"
VBL,Bearish,🔴,Short Build-Up,-27.9,86,0.56,0.63,430.0,430.0,3144140,-211650,31.44,-2.12,2432700,-224400,-18.2 Moderate Call Writing (ATM zone) | -3.9 Full-chain confirmation (Call-heavy) | -2.8 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -6.0 ATM±5 zone raw flow: CE +24.33L vs PE -2.24L (institutional tilt Call-heavy)
NATIONALUM,Bearish,🔴,Short Build-Up,-60.2,91,0.61,0.71,380.0,420.0,3419995,354370,34.2,3.54,3243750,350620,"-30.1 Strong Call Writing (ATM zone) | -5.1 Full-chain confirmation (Call-heavy) | -4.0 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -18.0 Full-chain Dual Build-Up is Call-heavy (+34.20L CE vs +3.54L PE, 9.7x) | -6.0 ATM±5 zone raw flow: CE +32.44L vs PE +3.51L (institutional tilt Call-heavy)"
RELIANCE,Bearish,🔴,Bearish OI Bias (Dual Build-Up),-17.8,77,0.74,0.74,1300.0,1300.0,3405500,2359500,34.05,23.59,3682000,1759000,"-10.7 Moderate Call Writing (ATM zone) | -0.1 Full-chain confirmation (Call-heavy) | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -4.0 Full-chain Dual Build-Up is Call-heavy (+34.05L CE vs +23.59L PE, 1.4x) | -6.0 ATM±5 zone raw flow: CE +36.82L vs PE +17.59L (institutional tilt Call-heavy)"
ONGC,Bearish,🔴,Short Build-Up,-55.6,91,0.55,0.62,225.0,237.5,4932000,346500,49.32,3.46,4704750,456750,"-27.9 Strong Call Writing (ATM zone) | -3.9 Full-chain confirmation (Call-heavy) | -2.8 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -18.0 Full-chain Dual Build-Up is Call-heavy (+49.32L CE vs +3.46L PE, 14.2x) | -6.0 ATM±5 zone raw flow: CE +47.05L vs PE +4.57L (institutional tilt Call-heavy)"
ITC,Bearish,🔴,Short Build-Up,-46.2,91,0.66,0.72,270.0,270.0,7115685,312230,71.16,3.12,4968055,489905,"-19.8 Strong Call Writing (ATM zone) | -3.0 Full-chain confirmation (Call-heavy) | -2.4 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -18.0 Full-chain Dual Build-Up is Call-heavy (+71.16L CE vs +3.12L PE, 22.8x) | -6.0 ATM±5 zone raw flow: CE +49.68L vs PE +4.90L (institutional tilt Call-heavy)"
COALINDIA,Bearish,🔴,Bearish OI Bias (Dual Build-Up),-48.0,91,0.63,0.69,400.0,400.0,5694300,1973700,56.94,19.74,5448600,1971000,"-27.6 Strong Call Writing (ATM zone) | -3.3 Full-chain confirmation (Call-heavy) | -2.4 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -11.7 Full-chain Dual Build-Up is Call-heavy (+56.94L CE vs +19.74L PE, 2.9x) | -6.0 ATM±5 zone raw flow: CE +54.49L vs PE +19.71L (institutional tilt Call-heavy)"
BANKINDIA,Bearish,🔴,Short Build-Up,-109.1,91,0.77,1.23,140.0,155.0,11310000,270400,113.1,2.7,6323200,270400,"-51.2 Strong Call Writing (ATM zone) | -18.5 Full-chain confirmation (Call-heavy) | -18.4 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -18.0 Full-chain Dual Build-Up is Call-heavy (+113.10L CE vs +2.70L PE, 41.8x) | -6.0 ATM±5 zone raw flow: CE +63.23L vs PE +2.70L (institutional tilt Call-heavy)"
TATASTEEL,Bearish,🔴,Bearish OI Bias (Dual Build-Up),-48.3,91,0.71,0.81,185.0,190.0,15672250,3418250,156.72,34.18,10051250,3093750,"-19.8 Strong Call Writing (ATM zone) | -4.7 Full-chain confirmation (Call-heavy) | -4.0 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -16.8 Full-chain Dual Build-Up is Call-heavy (+156.72L CE vs +34.18L PE, 4.6x) | -6.0 ATM±5 zone raw flow: CE +100.51L vs PE +30.94L (institutional tilt Call-heavy)"
YESBANK,Neutral,⚪,Neutral / Mixed Positioning,-3.8,65,0.71,0.71,23.0,23.0,20494900,15829900,204.95,158.3,20588200,15829900,-1.1 Call/Put roughly balanced (ATM zone) | +0.3 Full-chain confirmation (Put-heavy) | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -6.0 ATM±5 zone raw flow: CE +205.88L vs PE +158.30L (institutional tilt Call-heavy)
